FID,res_bldg_cnt,res_gwh,lmi_bldg_cnt,lmi_gwh,lmi_pct_gwh,lmi_pct_bldg,name,state_abbr,gid
pv_rooftop_county_lmi_pct_gwh.1021,2501,28.7524,1166.5905,13.6459,47.46,46.64,Crittenden,KY,1021
pv_rooftop_county_lmi_pct_gwh.2024,2447.0004,25.9792,1052.9625,11.7968,45.41,43.03,Pembina,ND,2024
pv_rooftop_county_lmi_pct_gwh.2426,1673.9998,19.8573,692.3422,8.6169,43.39,41.36,Walworth,SD,2426
pv_rooftop_county_lmi_pct_gwh.3058,16452.9992,207.6404,5778.8235,81.0911,39.05,35.12,Columbia,WI,3058
pv_rooftop_county_lmi_pct_gwh.3059,4660.0004,54.1845,1981.5236,24.868,45.9,42.52,Crawford,WI,3059
pv_rooftop_county_lmi_pct_gwh.3061,23749.9997,300.6917,8490.3647,120.6534,40.13,35.75,Dodge,WI,3061
pv_rooftop_county_lmi_pct_gwh.3063,11817.0004,145.3597,4768.6038,67.5184,46.45,40.35,Douglas,WI,3063
pv_rooftop_county_lmi_pct_gwh.2623,13495.0003,154.7233,4939.9757,57.4354,37.12,36.61,Hardin,TX,2623
pv_rooftop_county_lmi_pct_gwh.2648,10773.9994,147.7941,4543.6562,64.6473,43.74,42.17,Jim Wells,TX,2648
pv_rooftop_county_lmi_pct_gwh.1673,2880.9997,34.8683,1175.4658,15.0233,43.09,40.8,Colfax,NE,1673
pv_rooftop_county_lmi_pct_gwh.1638,371.0001,3.4957,158.2934,1.4915,42.67,42.67,Prairie,MT,1638
pv_rooftop_county_lmi_pct_gwh.1664,12473.001,191.6479,4861.3846,84.9257,44.31,38.98,Buffalo,NE,1664
pv_rooftop_county_lmi_pct_gwh.1659,190,2.0673,75.3173,0.8195,39.64,39.64,Blaine,NE,1659
pv_rooftop_county_lmi_pct_gwh.792,4555,50.8858,2058.732,23.5927,46.36,45.2,Allamakee,IA,792
pv_rooftop_county_lmi_pct_gwh.794,2276.0001,25.6723,1023.7125,11.7204,45.65,44.98,Audubon,IA,794
pv_rooftop_county_lmi_pct_gwh.820,23419.0012,323.7161,8492.5971,139.4494,43.08,36.26,Dubuque,IA,820
pv_rooftop_county_lmi_pct_gwh.1672,2226.0003,27.2312,811.4322,10.3348,37.95,36.45,Clay,NE,1672
pv_rooftop_county_lmi_pct_gwh.2603,3226.0005,39.349,1601.2228,20.0998,51.08,49.63,Franklin,TX,2603
pv_rooftop_county_lmi_pct_gwh.3069,14175.9987,173.0608,5381.8548,73.1358,42.26,37.96,Grant,WI,3069
pv_rooftop_county_lmi_pct_gwh.1927,2713,30.0092,1060.3805,12.0155,40.04,39.09,Gates,NC,1927
pv_rooftop_county_lmi_pct_gwh.358,1258.0001,14.3945,523.2878,5.9916,41.62,41.6,Liberty,FL,358
pv_rooftop_county_lmi_pct_gwh.91,223.0003,1.8548,67.1926,0.5774,31.13,30.13,Skagway,AK,91
pv_rooftop_county_lmi_pct_gwh.1649,1135,13.3919,460.8783,6.1165,45.67,40.61,Toole,MT,1649
pv_rooftop_county_lmi_pct_gwh.1548,1173,13.763,465.9771,5.7002,41.42,39.73,Mercer,MO,1548
pv_rooftop_county_lmi_pct_gwh.935,994.9999,13.3566,398.8466,5.4813,41.04,40.09,Kearny,KS,935
pv_rooftop_county_lmi_pct_gwh.980,1405.9997,17.9519,601.1023,7.8408,43.68,42.75,Smith,KS,980
pv_rooftop_county_lmi_pct_gwh.1000,5767.0001,73.4978,3370.8916,46.2278,62.9,58.45,Bell,KY,1000
pv_rooftop_county_lmi_pct_gwh.1007,4078.9999,44.8766,1423.8693,16.7737,37.38,34.91,Breckinridge,KY,1007
pv_rooftop_county_lmi_pct_gwh.1753,456.0001,5.6428,190.7028,2.4664,43.71,41.82,Eureka,NV,1753
pv_rooftop_county_lmi_pct_gwh.2949,22066.0015,303.8169,7393.3345,111.5981,36.73,33.51,Suffolk,VA,2949
pv_rooftop_county_lmi_pct_gwh.3067,26829.0023,359.2209,9016.2202,141.9864,39.53,33.61,Fond du Lac,WI,3067
pv_rooftop_county_lmi_pct_gwh.3079,27015.002,402.1594,10024.4733,182.9391,45.49,37.11,La Crosse,WI,3079
pv_rooftop_county_lmi_pct_gwh.3086,4675.0002,51.9701,1946.5727,22.5469,43.38,41.64,Marquette,WI,3086
pv_rooftop_county_lmi_pct_gwh.2472,2595.9996,28.0465,1267.9064,14.1522,50.46,48.84,Jackson,TN,2472
pv_rooftop_county_lmi_pct_gwh.2475,106519.003,1552.291,40691.9826,666.0488,42.91,38.2,Knox,TN,2475
pv_rooftop_county_lmi_pct_gwh.970,1876.9999,23.4583,796.1315,10.1886,43.43,42.42,Rooks,KS,970
pv_rooftop_county_lmi_pct_gwh.972,2750.0007,33.6173,1221.6325,15.4397,45.93,44.42,Russell,KS,972
